D,n,time,timebarup,timebardown
8,1,34.457545,0.0,0.0
8,2,35.792629,0.0,0.0
8,4,37.456553,0.0,0.0
8,8,38.858592,0.0,0.0
8,12,41.279107,0.0,0.0
