D,n,time,timebarup,timebardown
24,1,164.187417,0.0,0.0
24,2,100.18741700000001,0.0,0.0
24,4,66.737187,0.0,0.0
24,8,51.527815,0.0,0.0
24,12,54.242464,0.0,0.0
