D,n,time,timebarup,timebardown
4,10,35.5129245,1.916779500000004,1.916779499999997
8,10,35.17795,0.09056400000000053,0.09056400000000053
12,10,32.857665,1.3142800000000037,1.3142799999999966
16,10,34.3985535,2.054344499999999,2.054344499999999
20,10,36.7076215,2.082777499999999,2.082777499999999
24,10,51.72541,2.0895940000000053,2.089593999999998
28,10,51.350228,1.110006999999996,1.110007000000003
30,10,194.032428,0.0,0.0
