D,time,timebarup,timebardown
4,0.00017325,0.00033774999999999994,0.00010925000000000001
8,0.00289625,0.00406575,0.00277225
12,0.01836025,0.04754075,0.01823525
16,0.30206225,0.72300475,0.27818725
20,6.205326583333333,14.275452416666665,5.570526583333333
24,89.12134691666667,162.40040008333335,83.55055991666667
28,2268.5883277142857,5008.485855285714,1993.8858357142858
